0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.70
0.00,0.79
0.00,0.79
0.00,0.79
0.00,0.88
0.00,1.14
0.00,3.25
0.00,3.78
0.00,4.48
0.00,5.10
0.00,11.51
0.00,17.23
0.00,23.29
0.00,26.54
0.00,33.40
0.18,39.20
0.18,46.05
0.18,53.00
0.26,60.82
0.35,68.12
0.44,75.41
0.62,82.79
4.48,90.00
4.57,97.12
4.75,104.77
4.83,112.24
6.50,124.28
6.86,131.92
14.06,140.19
14.24,147.57
20.48,158.73
21.80,167.78
29.09,175.17
35.07,180.97
41.40,183.08
46.32,190.02
48.69,196.26
55.02,203.64
55.46,207.60
62.31,219.20
68.64,227.11
70.22,234.76
76.73,244.34
82.27,257.17
88.42,264.55
90.35,277.91
103.36,285.91
103.54,293.64
110.74,304.80
114.26,311.57
117.33,316.58
124.37,322.38
124.45,329.06
124.37,334.95
124.54,342.25
124.72,349.98
131.66,357.28
132.28,364.75
139.31,374.59
143.35,385.93
146.87,393.13
150.38,400.52
154.60,407.81
162.25,414.49
163.04,419.68
170.51,422.58
180.18,429.43
186.59,436.11
191.87,442.88
198.11,447.80
200.74,451.67
207.77,458.96
211.90,465.47
215.24,472.32
221.22,479.79
222.80,486.74
227.46,493.59
231.59,500.27
234.32,507.13
237.83,513.81
240.82,520.49
241.00,521.98
241.00,528.49
243.02,535.34
243.28,541.85
247.41,543.16
247.68,549.84
247.68,554.94
247.68,557.31
247.68,563.20
247.68,564.79
247.68,570.67
247.76,572.26
247.76,578.14
247.76,580.78
247.76,587.20
247.76,592.91
247.68,594.58
247.76,595.11
247.68,600.12
247.68,600.82
247.68,601.88
247.59,601.96
247.59,602.14
247.59,602.31
247.59,607.50
247.59,609.26
247.50,609.52
247.50,611.72
247.41,614.79
247.32,615.23
247.15,616.55
246.97,616.64
246.97,616.73
246.97,616.73
246.97,616.73
246.88,616.73
246.18,617.08
246.01,622.27
245.92,623.67
245.83,623.76
245.83,623.94
245.74,623.94
245.65,624.11
245.30,629.30
238.89,630.00
238.71,631.23
238.80,631.32
238.89,631.32
238.97,631.23
238.89,631.23
238.89,631.32
238.80,631.41
238.80,631.41
238.80,631.41
238.71,631.41
235.20,631.41
232.03,636.50
231.94,636.86
232.03,636.94
232.03,636.94
232.12,636.94
232.12,637.12
232.21,638.00
232.21,638.26
232.21,638.44
232.29,638.44
232.29,638.61
232.29,643.27
232.29,644.24
232.29,645.82
232.29,650.57
232.38,651.45
232.38,652.68
232.56,652.85
232.82,652.94
233.09,653.03
234.05,653.47
234.14,658.04
234.14,658.48
234.32,659.09
239.33,659.88
241.00,659.97
241.17,660.15
241.17,660.94
242.84,665.60
242.84,667.18
242.93,667.44
247.59,670.87
247.94,672.71
247.94,673.24
248.12,674.47
249.79,674.74
254.44,675.88
254.53,679.75
254.44,680.10
254.53,680.80
254.62,681.68
256.29,681.86
256.64,682.12
261.21,686.51
261.21,687.39
261.21,688.89
261.39,689.24
263.76,693.63
267.89,694.42
267.98,695.21
268.15,696.01
268.24,696.27
269.74,698.38
269.82,701.28
269.82,702.16
269.82,703.30
272.55,708.31
276.33,708.75
276.42,709.98
276.42,710.33
276.42,710.86
276.59,715.61
276.77,716.48
283.10,717.45
283.27,717.71
283.45,723.08
283.89,723.60
289.07,724.48
290.39,724.75
290.48,730.28
290.57,730.99
290.65,731.69
291.01,732.13
296.28,737.40
296.37,738.37
297.51,738.90
297.51,739.34
297.60,744.43
297.60,746.10
298.13,748.83
304.63,751.73
304.63,753.22
304.72,753.66
305.07,757.71
305.07,759.11
305.07,760.78
305.33,765.00
311.84,766.23
312.01,766.85
312.19,767.99
312.45,771.24
318.43,773.35
318.52,775.11
318.52,779.41
319.75,780.82
319.75,782.40
319.75,787.41
319.75,788.91
319.75,789.79
319.75,794.62
319.75,796.46
319.75,796.82
320.10,801.65
320.10,803.50
320.10,804.11
320.27,809.38
326.07,811.23
326.51,816.15
327.48,817.56
327.48,818.44
327.48,823.01
327.48,824.59
327.48,825.56
327.48,829.95
327.48,831.62
327.48,831.97
327.48,836.98
327.48,838.30
327.48,838.83
327.48,839.79
327.57,844.28
327.57,845.68
327.57,846.21
327.57,851.04
327.57,851.84
327.57,852.98
327.57,853.24
327.57,853.42
327.57,857.46
327.74,858.34
327.66,858.60
327.74,858.60
327.74,858.87
334.25,858.87
335.39,858.87
341.63,858.87
341.72,858.78
342.95,858.78
343.13,858.78
345.06,858.78
350.86,858.78
351.30,858.60
357.28,858.60
358.86,858.60
364.66,858.60
366.33,858.52
366.86,858.52
373.54,858.43
374.24,858.43
379.95,858.43
381.71,858.34
384.87,858.25
387.42,858.25
389.27,858.25
394.45,858.16
396.39,858.08
400.96,858.08
401.40,858.08
403.33,858.08
407.99,858.08
408.69,858.08
414.84,857.99
415.11,857.81
415.63,857.37
416.87,856.85
421.61,856.76
423.63,856.76
423.72,856.76
423.72,856.76
423.72,856.76
427.59,856.76
428.47,856.85
430.31,856.85
432.07,856.85
434.97,856.85
435.67,856.85
436.82,856.85
441.74,856.85
443.50,856.85
443.67,856.85
448.42,856.85
449.56,856.85
450.09,856.85
450.18,856.85
450.26,856.85
456.86,856.85
458.53,856.85
469.51,856.93
474.70,856.93
477.33,856.93
484.01,856.93
484.54,856.93
491.13,856.93
491.92,856.93
